year,effort_care_vic,efficiency_care_vic,effort_care_vir,efficiency_care_vir,effort_loya_vic,efficiency_loya_vic,effort_loya_vir,efficiency_loya_vir,effort_auth_vic,efficiency_auth_vic,effort_auth_vir,efficiency_auth_vir,effort_sanc_vic,efficiency_sanc_vic,effort_sanc_vir,efficiency_sanc_vir,effort_fare_vic,efficiency_fare_vic,effort_fare_vir,efficiency_fare_vir,effort_care,effort_loya,effort_auth,effort_sanc,effort_fare,effort_virtue,effort_vice,effort_vir_vic_diff,efficiency_care,efficiency_loya,efficiency_auth,efficiency_sanc,efficiency_fare,efficiency_virtue,efficiency_vice,efficiency_vir_vic_diff
1883.0,0.8976080417633057,0.8545929193496704,0.9162854552268982,0.8710664510726929,0.8283790349960327,0.7855921983718872,0.8734850287437439,0.8455995321273804,0.869644045829773,0.8278405070304871,0.853725790977478,0.8439316749572754,0.887271523475647,0.81334388256073,0.9021106362342834,0.8373085260391235,0.8880954384803772,0.8683834671974182,0.8535704612731934,0.8759818077087402,0.9162854552268982,0.8734850287437439,0.853725790977478,0.9021106362342834,0.8535704612731934,0.8798354744911194,0.8741996169090271,0.005635857582092285,0.8710664510726929,0.8455995321273804,0.8439316749572754,0.8373085260391235,0.8759818077087402,0.8547775983810425,0.8299505949020386,0.024827003479003906
1884.0,0.8913726806640625,0.7779320478439331,0.9062179327011108,0.7806868553161621,0.8129452466964722,0.6621536016464233,0.8932696580886841,0.7627815008163452,0.8725389242172241,0.743290901184082,0.8733426928520203,0.7834161520004272,0.8814389705657959,0.7672610282897949,0.9023359417915344,0.7569104433059692,0.8909508585929871,0.7805643677711487,0.8619140386581421,0.789189875125885,0.9062179327011108,0.8932696580886841,0.8733426928520203,0.9023359417915344,0.8619140386581421,0.8874160528182984,0.8698493361473083,0.01756671667099008,0.7806868553161621,0.7627815008163452,0.7834161520004272,0.7569104433059692,0.789189875125885,0.7745969653129577,0.7462403893470764,0.02835657596588137
1885.0,0.9183855056762695,0.8592092990875244,0.9335072636604309,0.8886830806732178,0.8835779428482056,0.8057758808135986,0.9262293577194214,0.8575592041015625,0.9125626683235168,0.8407902121543884,0.9158196449279785,0.872471809387207,0.884726881980896,0.8187161684036255,0.9167742729187012,0.8549976348876953,0.9083820581436157,0.8624013662338257,0.9113900661468506,0.8971215486526489,0.9335072636604309,0.9262293577194214,0.9158196449279785,0.9167742729187012,0.9113900661468506,0.9207441210746765,0.9015270113945008,0.01921710968017576,0.8886830806732178,0.8575592041015625,0.872471809387207,0.8549976348876953,0.8971215486526489,0.8741666555404664,0.8373785853385926,0.0367880702018738
1886.0,0.881603479385376,0.7794497013092041,0.8994192481040955,0.7841525673866272,0.8164631128311157,0.694989800453186,0.8868167400360107,0.7847773432731628,0.8561954498291016,0.768051266670227,0.8610424995422363,0.8004800081253052,0.873927116394043,0.7682321667671204,0.8993613719940186,0.7833104133605957,0.8778101205825806,0.7951740026473999,0.842195451259613,0.7970019578933716,0.8994192481040955,0.8868167400360107,0.8610424995422363,0.8993613719940186,0.842195451259613,0.8777670621871948,0.8611998558044434,0.016567206382751443,0.7841525673866272,0.7847773432731628,0.8004800081253052,0.7833104133605957,0.7970019578933716,0.7899444580078125,0.7611793875694275,0.028765070438385054
1887.0,0.8938952684402466,0.8215179443359375,0.9147432446479797,0.8295716643333435,0.850386381149292,0.752007007598877,0.8890739679336548,0.8320372700691223,0.8593242168426514,0.7964459657669067,0.8710781335830688,0.8368867635726929,0.8592747449874878,0.7972065806388855,0.889018177986145,0.8041483163833618,0.8714091777801514,0.8391470909118652,0.8426309823989868,0.8418271541595459,0.9147432446479797,0.8890739679336548,0.8710781335830688,0.889018177986145,0.8426309823989868,0.8813089013099671,0.8668579578399658,0.01445094347000131,0.8295716643333435,0.8320372700691223,0.8368867635726929,0.8041483163833618,0.8418271541595459,0.8288942337036133,0.8012649178504944,0.027629315853118896
1888.0,0.8850870132446289,0.7848404049873352,0.9019302129745483,0.7866940498352051,0.8311469554901123,0.7295806407928467,0.8828763961791992,0.7600049376487732,0.8520699143409729,0.7699589133262634,0.8513631820678711,0.7870975136756897,0.8699139952659607,0.7742152214050293,0.899662971496582,0.7680861949920654,0.8865693807601929,0.7972100973129272,0.8387082815170288,0.804707944393158,0.9019302129745483,0.8828763961791992,0.8513631820678711,0.899662971496582,0.8387082815170288,0.8749082088470459,0.8649574518203735,0.009950757026672363,0.7866940498352051,0.7600049376487732,0.7870975136756897,0.7680861949920654,0.804707944393158,0.7813181281089783,0.7711610555648803,0.010157072544097923
1889.0,0.9269447922706604,0.8294357061386108,0.9298241138458252,0.8705404996871948,0.8530316352844238,0.7488495707511902,0.9170575141906738,0.8490989208221436,0.9092892408370972,0.8052600622177124,0.8997730016708374,0.8507998585700989,0.8940008878707886,0.7955189347267151,0.9157758355140686,0.8246148824691772,0.924081563949585,0.8416831493377686,0.8948202729225159,0.8547943830490112,0.9298241138458252,0.9170575141906738,0.8997730016708374,0.9157758355140686,0.8948202729225159,0.9114501476287842,0.901469624042511,0.009980523586273216,0.8705404996871948,0.8490989208221436,0.8507998585700989,0.8246148824691772,0.8547943830490112,0.8499697089195252,0.8041494846343994,0.04582022428512578
1890.0,0.8627750873565674,0.7620366811752319,0.9015331268310547,0.7916373610496521,0.8170086741447449,0.6972538232803345,0.8782092332839966,0.7593252062797546,0.8418814539909363,0.7625119686126709,0.8575129508972168,0.7799758911132812,0.8504484295845032,0.7549343109130859,0.8880165815353394,0.7556976675987244,0.8520711660385132,0.7792877554893494,0.8561897277832031,0.8186328411102295,0.9015331268310547,0.8782092332839966,0.8575129508972168,0.8880165815353394,0.8561897277832031,0.8762923240661621,0.8448369622230529,0.03145536184310915,0.7916373610496521,0.7593252062797546,0.7799758911132812,0.7556976675987244,0.8186328411102295,0.7810537934303283,0.7512049078941345,0.029848885536193803
1891.0,0.9182112216949463,0.8409959077835083,0.9347147345542908,0.8751109838485718,0.8887385725975037,0.8021646738052368,0.9127918481826782,0.8476938009262085,0.901474118232727,0.8202654719352722,0.8895016312599182,0.8518829345703125,0.8970754146575928,0.8197591304779053,0.9190009236335754,0.8364928960800171,0.9075021743774414,0.8461349010467529,0.8905935883522034,0.8719821572303772,0.9347147345542908,0.9127918481826782,0.8895016312599182,0.9190009236335754,0.8905935883522034,0.9093205451965332,0.9026003003120422,0.006720244884490967,0.8751109838485718,0.8476938009262085,0.8518829345703125,0.8364928960800171,0.8719821572303772,0.8566325545310974,0.8258640170097351,0.030768537521362327
1892.0,0.8930757641792297,0.8023067116737366,0.9024170637130737,0.7959352135658264,0.8415066003799438,0.7184964418411255,0.8887741565704346,0.7732632160186768,0.8745418787002563,0.7755798697471619,0.8819348216056824,0.7959001660346985,0.8747667670249939,0.7836379408836365,0.9022856950759888,0.781262993812561,0.8704092502593994,0.8037819862365723,0.863659143447876,0.8095731735229492,0.9024170637130737,0.8887741565704346,0.8819348216056824,0.9022856950759888,0.863659143447876,0.887814176082611,0.8708600521087646,0.016954123973846436,0.7959352135658264,0.7732632160186768,0.7959001660346985,0.781262993812561,0.8095731735229492,0.7911869525909424,0.7767605900764465,0.014426362514495916
1893.0,0.9072469472885132,0.8204367160797119,0.9313187599182129,0.823655366897583,0.8731769323348999,0.7493495941162109,0.9182256460189819,0.7852300405502319,0.8774531483650208,0.8046602010726929,0.8846959471702576,0.8174303770065308,0.8873674273490906,0.7918758392333984,0.9158903956413269,0.7673934698104858,0.8804231286048889,0.803195059299469,0.8600940704345703,0.8255828619003296,0.9313187599182129,0.9182256460189819,0.8846959471702576,0.9158903956413269,0.8600940704345703,0.9020449638366699,0.8851335167884826,0.016911447048187256,0.823655366897583,0.7852300405502319,0.8174303770065308,0.7673934698104858,0.8255828619003296,0.8038584232330322,0.7939034819602966,0.009954941272735662
1894.0,0.9096670746803284,0.8373124003410339,0.9181965589523315,0.8241610527038574,0.8635076284408569,0.759662389755249,0.9091634750366211,0.8012696504592896,0.8772975206375122,0.8100125193595886,0.8890389204025269,0.8234093189239502,0.8944258689880371,0.8133090138435364,0.9207067489624023,0.8128116726875305,0.8921787142753601,0.8269673585891724,0.8779875040054321,0.8448495864868164,0.9181965589523315,0.9091634750366211,0.8890389204025269,0.9207067489624023,0.8779875040054321,0.9030186414718628,0.8874153614044189,0.015603280067443936,0.8241610527038574,0.8012696504592896,0.8234093189239502,0.8128116726875305,0.8448495864868164,0.8213002562522889,0.8094527363777161,0.011847519874572776
1895.0,0.9097508192062378,0.8377639651298523,0.9257385730743408,0.8579853773117065,0.8713927268981934,0.7934527397155762,0.920951247215271,0.8394728302955627,0.8932540416717529,0.8348678350448608,0.8927303552627563,0.8591148853302002,0.8968558311462402,0.8017239570617676,0.9218767285346985,0.8149374723434448,0.9022011756896973,0.8539429903030396,0.8745654821395874,0.8669254779815674,0.9257385730743408,0.920951247215271,0.8927303552627563,0.9218767285346985,0.8745654821395874,0.9071724772453308,0.8946909189224244,0.012481558322906428,0.8579853773117065,0.8394728302955627,0.8591148853302002,0.8149374723434448,0.8669254779815674,0.8476872086524964,0.8243502974510193,0.023336911201477073
1896.0,0.8892675638198853,0.7802534699440002,0.8920356035232544,0.7876572608947754,0.8268538117408752,0.7217126488685608,0.8766868114471436,0.765462338924408,0.8612706661224365,0.7721207737922668,0.849757194519043,0.805719792842865,0.8842461109161377,0.7520689964294434,0.8879964351654053,0.7634416818618774,0.8840537071228027,0.7949973344802856,0.8478903770446777,0.824425458908081,0.8920356035232544,0.8766868114471436,0.849757194519043,0.8879964351654053,0.8478903770446777,0.8708732843399047,0.8691383719444274,0.001734912395477295,0.7876572608947754,0.765462338924408,0.805719792842865,0.7634416818618774,0.824425458908081,0.7893413066864013,0.7642306447029114,0.02511066198348999
1897.0,0.9173668622970581,0.8404473066329956,0.9216214418411255,0.8418079614639282,0.8808724880218506,0.8024698495864868,0.9079013466835022,0.828621506690979,0.8775663375854492,0.8179079294204712,0.8861113786697388,0.8466885089874268,0.8935771584510803,0.814693808555603,0.9269824028015137,0.8247077465057373,0.9042486548423767,0.8387677669525146,0.8854287266731262,0.8501661419868469,0.9216214418411255,0.9079013466835022,0.8861113786697388,0.9269824028015137,0.8854287266731262,0.9056090593338013,0.894726300239563,0.010882759094238303,0.8418079614639282,0.828621506690979,0.8466885089874268,0.8247077465057373,0.8501661419868469,0.8383983731269836,0.8228573322296142,0.015541040897369407
1898.0,0.8868419528007507,0.786068320274353,0.901604950428009,0.7824975252151489,0.8364211320877075,0.7204884886741638,0.8869712948799133,0.7745766639709473,0.8703463077545166,0.7784051895141602,0.8608009815216064,0.7904736995697021,0.8838080763816833,0.7803902626037598,0.9077174663543701,0.775108814239502,0.8771073818206787,0.7884106636047363,0.8593546152114868,0.8094562292098999,0.901604950428009,0.8869712948799133,0.8608009815216064,0.9077174663543701,0.8593546152114868,0.8832898616790772,0.8709049701690674,0.012384891510009766,0.7824975252151489,0.7745766639709473,0.7904736995697021,0.775108814239502,0.8094562292098999,0.78642258644104,0.7707525849342346,0.01567000150680542
1899.0,0.8794609308242798,0.7690099477767944,0.9106186628341675,0.8103489279747009,0.8341275453567505,0.7086334228515625,0.8819063305854797,0.8007455468177795,0.8579291105270386,0.773582935333252,0.8627445697784424,0.8219798803329468,0.8575425148010254,0.7542111873626709,0.8998933434486389,0.7331104874610901,0.8861114382743835,0.7925938367843628,0.8635410070419312,0.8462473154067993,0.9106186628341675,0.8819063305854797,0.8627445697784424,0.8998933434486389,0.8635410070419312,0.8837407827377319,0.8630343079566956,0.020706474781036377,0.8103489279747009,0.8007455468177795,0.8219798803329468,0.7331104874610901,0.8462473154067993,0.8024864315986633,0.7596062660217285,0.04288016557693475
1900.0,0.8886477947235107,0.7689980864524841,0.9026679992675781,0.7876343727111816,0.8431207537651062,0.7444485425949097,0.8790268301963806,0.7758959531784058,0.8613796234130859,0.7657206654548645,0.8662897944450378,0.8075518608093262,0.864776074886322,0.7479097843170166,0.8897751569747925,0.7422124147415161,0.8722324371337891,0.7949008941650391,0.8582501411437988,0.8259683847427368,0.9026679992675781,0.8790268301963806,0.8662897944450378,0.8897751569747925,0.8582501411437988,0.8792019844055176,0.8660313367843628,0.013170647621154719,0.7876343727111816,0.7758959531784058,0.8075518608093262,0.7422124147415161,0.8259683847427368,0.7878525972366333,0.7643955945968628,0.023457002639770463
1901.0,0.9162597060203552,0.81526780128479,0.9358462691307068,0.8454006314277649,0.8792036175727844,0.7656955122947693,0.9136497974395752,0.8196759819984436,0.8908739686012268,0.7912100553512573,0.8945691585540771,0.8222824335098267,0.8984042406082153,0.7979707717895508,0.9270827174186707,0.7902177572250366,0.906232476234436,0.8371442556381226,0.8917807340621948,0.8659265637397766,0.9358462691307068,0.9136497974395752,0.8945691585540771,0.9270827174186707,0.8917807340621948,0.9125857353210449,0.8981948018074035,0.014390933513641402,0.8454006314277649,0.8196759819984436,0.8222824335098267,0.7902177572250366,0.8659265637397766,0.8287006735801696,0.801457679271698,0.027242994308471657
1902.0,0.8672449588775635,0.7694944143295288,0.9187406897544861,0.8085033297538757,0.81825852394104,0.7231323719024658,0.8956369161605835,0.7674374580383301,0.8403118252754211,0.7574712038040161,0.8654282093048096,0.7982936501502991,0.8707058429718018,0.7663729786872864,0.9042438268661499,0.7727581262588501,0.8805552124977112,0.814194917678833,0.8547609448432922,0.821670651435852,0.9187406897544861,0.8956369161605835,0.8654282093048096,0.9042438268661499,0.8547609448432922,0.8877621173858643,0.8554152727127076,0.03234684467315674,0.8085033297538757,0.7674374580383301,0.7982936501502991,0.7727581262588501,0.821670651435852,0.7937326431274414,0.7661331772804261,0.027599465847015336
1903.0,0.9014476537704468,0.8389479517936707,0.9118425846099854,0.8684050440788269,0.8874502778053284,0.7815344929695129,0.894871711730957,0.8424908518791199,0.8807674646377563,0.807279109954834,0.8822000026702881,0.8570048809051514,0.8805902600288391,0.7984936237335205,0.9097129702568054,0.8176556825637817,0.8903372287750244,0.8523623943328857,0.8575518131256104,0.878781259059906,0.9118425846099854,0.894871711730957,0.8822000026702881,0.9097129702568054,0.8575518131256104,0.8912358164787293,0.888118577003479,0.003117239475250333,0.8684050440788269,0.8424908518791199,0.8570048809051514,0.8176556825637817,0.878781259059906,0.8528675436973572,0.8157235145568847,0.037144029140472434
1904.0,0.9184889793395996,0.8154067993164062,0.9333559274673462,0.8345751166343689,0.8839368224143982,0.7864483594894409,0.9066624045372009,0.8162723779678345,0.8818484544754028,0.7845690846443176,0.8782472610473633,0.8330676555633545,0.8924584984779358,0.7902544736862183,0.9149395227432251,0.7973635196685791,0.9061689376831055,0.8228999376296997,0.8809304237365723,0.8426188826560974,0.9333559274673462,0.9066624045372009,0.8782472610473633,0.9149395227432251,0.8809304237365723,0.9028271079063416,0.8965803384780884,0.006246769428253196,0.8345751166343689,0.8162723779678345,0.8330676555633545,0.7973635196685791,0.8426188826560974,0.8247795104980469,0.7999157309532166,0.024863779544830322
1905.0,0.921128511428833,0.8177409172058105,0.9290423393249512,0.8579425811767578,0.9097212553024292,0.783204197883606,0.9062103629112244,0.8329939842224121,0.8958145976066589,0.7938978672027588,0.8870541453361511,0.849626898765564,0.9003209471702576,0.8070365190505981,0.9212228059768677,0.7869309186935425,0.901673436164856,0.8477619886398315,0.8734570145606995,0.844601035118103,0.9290423393249512,0.9062103629112244,0.8870541453361511,0.9212228059768677,0.8734570145606995,0.9033973336219787,0.9057317495346069,-0.002334415912628174,0.8579425811767578,0.8329939842224121,0.849626898765564,0.7869309186935425,0.844601035118103,0.8344190835952758,0.809928297996521,0.02449078559875484
1906.0,0.8823037147521973,0.7783730030059814,0.9118291735649109,0.8029717803001404,0.8676087260246277,0.7418891787528992,0.884818971157074,0.7535305023193359,0.8643465042114258,0.7673422694206238,0.8694893717765808,0.7827532291412354,0.8546248078346252,0.7499817609786987,0.8920043706893921,0.7431507110595703,0.8757630586624146,0.7941975593566895,0.8730598092079163,0.8106698989868164,0.9118291735649109,0.884818971157074,0.8694893717765808,0.8920043706893921,0.8730598092079163,0.8862403392791748,0.8689293622970581,0.0173109769821167,0.8029717803001404,0.7535305023193359,0.7827532291412354,0.7431507110595703,0.8106698989868164,0.7786152243614197,0.7663567543029786,0.012258470058441162
1907.0,0.9301156401634216,0.8582797050476074,0.9439551830291748,0.880488395690918,0.8842261433601379,0.8123606443405151,0.9047996401786804,0.8320831060409546,0.89849454164505,0.8337551355361938,0.8892310857772827,0.853287398815155,0.9063031673431396,0.8179298639297485,0.9154534339904785,0.8255363702774048,0.9250163435935974,0.8693752288818359,0.9057161808013916,0.882571816444397,0.9439551830291748,0.9047996401786804,0.8892310857772827,0.9154534339904785,0.9057161808013916,0.9118311047554016,0.9088311672210694,0.002999937534332253,0.880488395690918,0.8320831060409546,0.853287398815155,0.8255363702774048,0.882571816444397,0.8547934174537659,0.8383401155471801,0.016453301906585782
1908.0,0.8896013498306274,0.7760970592498779,0.9079568386077881,0.816737949848175,0.8751803636550903,0.7415834665298462,0.8905988931655884,0.7653867602348328,0.8798391222953796,0.7621958255767822,0.8669607639312744,0.7984660863876343,0.873099684715271,0.7529276013374329,0.9027882814407349,0.7601648569107056,0.8900772333145142,0.8045544624328613,0.8718694448471069,0.830345630645752,0.9079568386077881,0.8905988931655884,0.8669607639312744,0.9027882814407349,0.8718694448471069,0.8880348443984986,0.8815595507621765,0.006475293636322044,0.816737949848175,0.7653867602348328,0.7984660863876343,0.7601648569107056,0.830345630645752,0.79422025680542,0.7674716830253601,0.026748573780059903
1909.0,0.9094874858856201,0.8331360220909119,0.926687479019165,0.8279498219490051,0.888716995716095,0.7739948034286499,0.9022371768951416,0.793980598449707,0.8621605634689331,0.7898143529891968,0.8711784482002258,0.8106310367584229,0.8817166090011597,0.7767149209976196,0.9182708263397217,0.784057080745697,0.892620325088501,0.8298501372337341,0.8519858717918396,0.8392175436019897,0.926687479019165,0.9022371768951416,0.8711784482002258,0.9182708263397217,0.8519858717918396,0.8940719604492188,0.8869403958320617,0.007131564617157027,0.8279498219490051,0.793980598449707,0.8106310367584229,0.784057080745697,0.8392175436019897,0.8111672163009643,0.8007020473480224,0.010465168952941917
1910.0,0.8952584862709045,0.7565235495567322,0.9216509461402893,0.7631248831748962,0.8776798248291016,0.7158697843551636,0.9093310832977295,0.7456434965133667,0.868070125579834,0.7497926354408264,0.8711348176002502,0.7649770379066467,0.8705984354019165,0.7262028455734253,0.913202702999115,0.7038767337799072,0.8647469282150269,0.7686285972595215,0.8510710000991821,0.8017464876174927,0.9216509461402893,0.9093310832977295,0.8711348176002502,0.913202702999115,0.8510710000991821,0.8932781100273133,0.8752707600593567,0.01800734996795661,0.7631248831748962,0.7456434965133667,0.7649770379066467,0.7038767337799072,0.8017464876174927,0.755873727798462,0.7434034824371338,0.012470245361328125
1911.0,0.8871883153915405,0.7884293794631958,0.9165983200073242,0.7998043894767761,0.8552559614181519,0.7446433901786804,0.8915636539459229,0.7736001014709473,0.8444492220878601,0.7771363854408264,0.8629435896873474,0.791428804397583,0.8636677861213684,0.7613887786865234,0.8954981565475464,0.7454789280891418,0.866353452205658,0.7918952107429504,0.8541663885116577,0.8234992623329163,0.9165983200073242,0.8915636539459229,0.8629435896873474,0.8954981565475464,0.8541663885116577,0.8841540217399597,0.8633829474449157,0.02077107429504399,0.7998043894767761,0.7736001014709473,0.791428804397583,0.7454789280891418,0.8234992623329163,0.7867622971534729,0.7726986289024353,0.014063668251037553
1912.0,0.9022938013076782,0.7878298759460449,0.9174892902374268,0.7996900081634521,0.8624285459518433,0.7319706678390503,0.8983680605888367,0.7670738697052002,0.8614590167999268,0.7513667941093445,0.8715627789497375,0.7846168279647827,0.8805379867553711,0.7685141563415527,0.9050025939941406,0.7524474859237671,0.8857530951499939,0.7703008651733398,0.8652982711791992,0.7889661192893982,0.9174892902374268,0.8983680605888367,0.8715627789497375,0.9050025939941406,0.8652982711791992,0.8915441989898681,0.8784944891929627,0.013049709796905451,0.7996900081634521,0.7670738697052002,0.7846168279647827,0.7524474859237671,0.7889661192893982,0.77855886220932,0.7619964718818665,0.016562390327453547
1913.0,0.9043634533882141,0.796043872833252,0.9181276559829712,0.8111745119094849,0.8824224472045898,0.7773369550704956,0.9137757420539856,0.7941581010818481,0.8576701879501343,0.7894231081008911,0.8733628988265991,0.8051269054412842,0.8724954724311829,0.7832764387130737,0.9031155705451965,0.7607951164245605,0.892177402973175,0.8031662702560425,0.8683007955551147,0.8274294137954712,0.9181276559829712,0.9137757420539856,0.8733628988265991,0.9031155705451965,0.8683007955551147,0.8953365325927735,0.8818257927894593,0.013510739803314187,0.8111745119094849,0.7941581010818481,0.8051269054412842,0.7607951164245605,0.8274294137954712,0.7997368097305297,0.789849328994751,0.00988748073577872
